id,url,name,type,language,genres,status,runtime,premiered,officialSite,schedule,rating,weight,network,webChannel,externals,image,summary,updated,_links
73,http://www.tvmaze.com/shows/73/the-walking-dead,The Walking Dead,Scripted,English,"['Drama', 'Action', 'Horror']",Running,60.0,2010-10-31,http://www.amc.com/shows/the-walking-dead,"{'time': '21:00', 'days': ['Sunday']}",{'average': 8.1},99,"{'id': 20, 'name': 'AMC', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}}",,"{'tvrage': 25056, 'thetvdb': 153021, 'imdb': 'tt1520211'}","{'medium': 'http://static.tvmaze.com/uploads/images/medium_portrait/295/738054.jpg', 'original': 'http://static.tvmaze.com/uploads/images/original_untouched/295/738054.jpg'}","<p><b>The Walking Dead</b> tells the story of the months and years that follow after a zombie apocalypse. It follows a group of survivors, led by former police officer Rick Grimes, who travel in search of a safe and secure home. As the world overrun by the dead takes its toll on the survivors, their interpersonal conflicts present a greater danger to their continuing survival than the walkers that roam the country. Over time, the characters are changed by the constant exposure to death and some grow willing to do anything to survive.</p><p>Based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.</p>",1612252458,"{'self': {'href': 'http://api.tvmaze.com/shows/73'}, 'previousepisode': {'href': 'http://api.tvmaze.com/episodes/1808376'}, 'nextepisode': {'href': 'http://api.tvmaze.com/episodes/1967119'}}"
74,http://www.tvmaze.com/shows/74/hell-on-wheels,Hell on Wheels,Scripted,English,"['Drama', 'Action', 'Western']",Ended,60.0,2011-11-06,http://www.amctv.com/shows/hell-on-wheels,"{'time': '21:00', 'days': ['Saturday']}",{'average': 8.5},92,"{'id': 20, 'name': 'AMC', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}}",,"{'tvrage': 27195, 'thetvdb': 212961, 'imdb': 'tt1699748'}","{'medium': 'http://static.tvmaze.com/uploads/images/medium_portrait/0/526.jpg', 'original': 'http://static.tvmaze.com/uploads/images/original_untouched/0/526.jpg'}","<p><b>Hell on Wheels</b> is an American Western television series about the construction of the First Transcontinental Railroad across the United States. The series follows the Union Pacific Railroad and its surveyors, laborers, prostitutes, mercenaries, and others who lived, worked and died in the mobile encampment called ""Hell on Wheels"" that followed the railhead west across the Great Plains. In particular, the story focuses on Cullen Bohannon, a former Confederate soldier who, while working as foreman and chief engineer on the railroad, initially attempts to track down the Union soldiers who murdered his wife and young son during the American Civil War.</p>",1573670489,"{'self': {'href': 'http://api.tvmaze.com/shows/74'}, 'previousepisode': {'href': 'http://api.tvmaze.com/episodes/862325'}}"
75,http://www.tvmaze.com/shows/75/the-mindy-project,The Mindy Project,Scripted,English,"['Comedy', 'Romance', 'Medical']",Ended,30.0,2012-09-25,http://www.hulu.com/the-mindy-project,"{'time': '', 'days': ['Tuesday']}",{'average': 7.2},74,,"{'id': 2, 'name': 'Hulu', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}}","{'tvrage': 31682, 'thetvdb': 259007, 'imdb': 'tt2211129'}","{'medium': 'http://static.tvmaze.com/uploads/images/medium_portrait/0/547.jpg', 'original': 'http://static.tvmaze.com/uploads/images/original_untouched/0/547.jpg'}",<p><b>The Mindy Project</b> is a single-camera comedy series which follows a skilled OB/GYN navigating the tricky waters of both her personal and professional life.</p>,1593493474,"{'self': {'href': 'http://api.tvmaze.com/shows/75'}, 'previousepisode': {'href': 'http://api.tvmaze.com/episodes/1334456'}}"
76,http://www.tvmaze.com/shows/76/sons-of-anarchy,Sons of Anarchy,Scripted,English,"['Drama', 'Action', 'Crime']",Ended,60.0,2008-09-03,http://www.fxnetworks.com/shows/sons-of-anarchy/,"{'time': '22:00', 'days': ['Tuesday']}",{'average': 8.7},87,"{'id': 13, 'name': 'FX', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}}",,"{'tvrage': 18174, 'thetvdb': 82696, 'imdb': 'tt1124373'}","{'medium': 'http://static.tvmaze.com/uploads/images/medium_portrait/0/537.jpg', 'original': 'http://static.tvmaze.com/uploads/images/original_untouched/0/537.jpg'}","<p><b>Sons of Anarchy</b> is an American television drama series created by Kurt Sutter, about the lives of a close-knit outlaw motorcycle club operating in Charming, a fictional town in California's Central Valley. The show centers on protagonist Jackson ""Jax"" Teller (Charlie Hunnam), initially the vice president of the club, who begins questioning the club and himself.</p>",1575120741,"{'self': {'href': 'http://api.tvmaze.com/shows/76'}, 'previousepisode': {'href': 'http://api.tvmaze.com/episodes/15832'}}"
77,http://www.tvmaze.com/shows/77/the-middle,The Middle,Scripted,English,"['Comedy', 'Family']",Ended,30.0,2009-09-30,http://abc.go.com/shows/the-middle,"{'time': '20:00', 'days': ['Tuesday']}",{'average': 7.9},82,"{'id': 3, 'name': 'ABC', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}}",,"{'tvrage': 20678, 'thetvdb': 95021, 'imdb': 'tt1442464'}","{'medium': 'http://static.tvmaze.com/uploads/images/medium_portrait/0/562.jpg', 'original': 'http://static.tvmaze.com/uploads/images/original_untouched/0/562.jpg'}","<p>Forget about athletes, movie stars and politicians. Parents are the real heroes - but we think Frankie Heck, must be some kind of superhero. A loving wife and mother of three, she's middle class in the middle of the country and is rapidly approaching middle age.</p><p>Frankie and her husband, Mike, have lived in Orson, Indiana, their whole lives. A man of few words (every one a zinger), Mike is a manager at the town quarry and Frankie is the third-best used car salesman (out of the three) at the local dealership. She may not be a high-powered career woman, but when it comes to her family, she'll go to just about any length. And with kids like these, she had better. There's Axl, her semi-nudist teenage son conceived while under the influence of Guns N' Roses; Sue, the awkward teenage daughter who fails at everything... but with the utmost of gusto; and their seven-year-old son Brick, whose best friend is his backpack.</p><p>Sometimes it seems like everyone is trying to get to the top, or struggling not to hit bottom, but we think Frankie and her family will find a lot of love, and a lot of laughs, somewhere in <b>The Middle</b>.</p>",1603380757,"{'self': {'href': 'http://api.tvmaze.com/shows/77'}, 'previousepisode': {'href': 'http://api.tvmaze.com/episodes/1464458'}}"
78,http://www.tvmaze.com/shows/78/the-mysteries-of-laura,The Mysteries of Laura,Scripted,English,"['Comedy', 'Crime']",Ended,60.0,2014-09-17,http://www.nbc.com/the-mysteries-of-laura,"{'time': '20:00', 'days': ['Wednesday']}",{'average': 7.6},44,"{'id': 1, 'name': 'NBC', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}}",,"{'tvrage': 37263, 'thetvdb': 278462, 'imdb': 'tt3187578'}","{'medium': 'http://static.tvmaze.com/uploads/images/medium_portrait/0/568.jpg', 'original': 'http://static.tvmaze.com/uploads/images/original_untouched/0/568.jpg'}","<p>Laura Diamond is a brilliant NYPD homicide detective who balances her ""Columbo"" day job with a crazy family life that includes two unruly twin boys and a soon-to-be ex-husband - also a cop - who just can't seem to sign the divorce papers. Between cleaning up after her boys and cleaning up the streets, she'd be the first to admit she has her ""hot mess"" moments in this hilariously authentic look at what it really means to be a working mom today. Somehow, she makes it all work with the help of her sexy and understanding partner, and things becomes even more complicated when her husband becomes her boss at the precinct. For Laura, every day is a high-wire balancing act.</p>",1577691444,"{'self': {'href': 'http://api.tvmaze.com/shows/78'}, 'previousepisode': {'href': 'http://api.tvmaze.com/episodes/609073'}}"
79,http://www.tvmaze.com/shows/79/the-goldbergs,The Goldbergs,Scripted,English,"['Comedy', 'Family']",Running,30.0,2013-09-24,http://abc.go.com/shows/the-goldbergs,"{'time': '20:00', 'days': ['Wednesday']}",{'average': 7.7},99,"{'id': 3, 'name': 'ABC', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}}",,"{'tvrage': 35814, 'thetvdb': 269653, 'imdb': 'tt2712740'}","{'medium': 'http://static.tvmaze.com/uploads/images/medium_portrait/272/681971.jpg', 'original': 'http://static.tvmaze.com/uploads/images/original_untouched/272/681971.jpg'}","<p>Before there were parenting blogs, trophies for showing up and peanut allergies, there was a simpler time called the '80s. For geeky and movie obsessed youngest child Adam, these were his wonder years, and he faced them armed with a video camera to capture all the crazy. <b>The Goldbergs</b> are a loving family like any other -- just with a lot more yelling. Mom Beverly is a classic ""smother,"" an overbearing, overprotective matriarch who loves her delicious kids, but still rules this brood with 100% authority and zero sense of boundaries. Dad Murray is gruff and sometimes oblivious, parenting with half his attention span but all his heart. Sister Erica is popular and terrifying, doing her best to cover up that she's the smartest of the clan. Barry is a passionate dreamer, who maybe dreams a little too big and who always gets the short end of the stick. Adam is the youngest, a camera-wielding future director who's navigating first love, and growing up with his family. Rounding out the family is beloved grandfather Al ""Pops"" Solomon, the wild man of the clan, a shameless Don Juan who's learning as much from his family as he teaches them.</p>",1612405410,"{'self': {'href': 'http://api.tvmaze.com/shows/79'}, 'previousepisode': {'href': 'http://api.tvmaze.com/episodes/2009058'}, 'nextepisode': {'href': 'http://api.tvmaze.com/episodes/2013765'}}"
80,http://www.tvmaze.com/shows/80/modern-family,Modern Family,Scripted,English,"['Comedy', 'Family']",Ended,30.0,2009-09-23,http://abc.go.com/shows/modern-family,"{'time': '21:00', 'days': ['Wednesday']}",{'average': 7.7},97,"{'id': 3, 'name': 'ABC', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}}",,"{'tvrage': 22622, 'thetvdb': 95011, 'imdb': 'tt1442437'}","{'medium': 'http://static.tvmaze.com/uploads/images/medium_portrait/240/600519.jpg', 'original': 'http://static.tvmaze.com/uploads/images/original_untouched/240/600519.jpg'}","<p><b>Modern Family</b> revolves around three different types of families (nuclear, step- and same-sex) living in the Los Angeles area, who are interrelated through Jay Pritchett and his children, Claire Dunphy (née Pritchett) and Mitchell Pritchett. Patriarch Jay is remarried to a much younger woman, Gloria Delgado Pritchett (née Ramirez), a passionate Colombian with whom he has an infant son, Fulgencio (Joe) Pritchett, and a son from Gloria's previous marriage, Manny Delgado.</p><p>Jay's daughter Claire was a homemaker, but has returned to the business world. She is now the chief executive of her father's previous business, Pritchett's Closets and Blinds. She is married to Phil Dunphy, a realtor and self-professed ""cool dad"". They have three children: Haley Dunphy, a stereotypical ditzy teenage girl; Alex Dunphy, a nerdy, smart middle child; and Luke Dunphy, the off-beat only son.</p><p>Jay's lawyer son Mitchell and his husband Cameron Tucker have one daughter, Lily Tucker-Pritchett. As the name suggests, this family represents a modern-day family, and episodes are comically based on situations which many families encounter in real life.</p>",1605080676,"{'self': {'href': 'http://api.tvmaze.com/shows/80'}, 'previousepisode': {'href': 'http://api.tvmaze.com/episodes/1809502'}}"
81,http://www.tvmaze.com/shows/81/criminal-minds,Criminal Minds,Scripted,English,"['Drama', 'Crime', 'Thriller']",Ended,60.0,2005-09-22,http://www.cbs.com/shows/criminal_minds/,"{'time': '21:00', 'days': ['Wednesday']}",{'average': 8.2},97,"{'id': 2, 'name': 'CBS', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}}",,"{'tvrage': 3171, 'thetvdb': 75710, 'imdb': 'tt0452046'}","{'medium': 'http://static.tvmaze.com/uploads/images/medium_portrait/237/592589.jpg', 'original': 'http://static.tvmaze.com/uploads/images/original_untouched/237/592589.jpg'}","<p><b>Criminal Minds</b> revolves around an elite team of FBI profilers who analyze the country's most twisted criminal minds, anticipating their next moves before they strike again.</p>",1611337553,"{'self': {'href': 'http://api.tvmaze.com/shows/81'}, 'previousepisode': {'href': 'http://api.tvmaze.com/episodes/1784939'}}"
82,http://www.tvmaze.com/shows/82/game-of-thrones,Game of Thrones,Scripted,English,"['Drama', 'Adventure', 'Fantasy']",Ended,60.0,2011-04-17,http://www.hbo.com/game-of-thrones,"{'time': '21:00', 'days': ['Sunday']}",{'average': 9.1},98,"{'id': 8, 'name': 'HBO', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}}","{'id': 22, 'name': 'HBO Go', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}}","{'tvrage': 24493, 'thetvdb': 121361, 'imdb': 'tt0944947'}","{'medium': 'http://static.tvmaze.com/uploads/images/medium_portrait/190/476117.jpg', 'original': 'http://static.tvmaze.com/uploads/images/original_untouched/190/476117.jpg'}","<p>Based on the bestselling book series <i>A Song of Ice and Fire</i> by George R.R. Martin, this sprawling new HBO drama is set in a world where summers span decades and winters can last a lifetime. From the scheming south and the savage eastern lands, to the frozen north and ancient Wall that protects the realm from the mysterious darkness beyond, the powerful families of the Seven Kingdoms are locked in a battle for the Iron Throne. This is a story of duplicity and treachery, nobility and honor, conquest and triumph. In the <b>Game of Thrones</b>, you either win or you die.</p>",1611261307,"{'self': {'href': 'http://api.tvmaze.com/shows/82'}, 'previousepisode': {'href': 'http://api.tvmaze.com/episodes/1623968'}}"
